phid,name,division,state,party,ceased_date,house
317036,Warwick Stacey,,NSW,PHON,2025-08-19,senate
250216,Linda Reynolds,,WA,LIB,2025-06-30,senate
273828,Hollie Hughes,,NSW,LIB,2025-06-30,senate
281697,Perin Davey,,NSW,NP ,2025-06-30,senate
283596,Gerard Rennick,,Qld,GRPF,2025-06-30,senate
283601,David Van,,Vic,IND,2025-06-30,senate
DYU,David Fawcett,,SA,LIB,2025-06-30,senate
HZB,Catryna Bilyk,,Tas,ALP,2025-06-30,senate
I0T,Louise Pratt,,WA,ALP,2025-06-30,senate
008CH,Zoe Daniel,Goldstein,Vic,IND,2025-05-03,reps
00AKI,Peter Dutton,Dickson,Qld,LIB,2025-05-03,reps
176304,James Stevens,Sturt,SA,LIB,2025-05-03,reps
188315,Bert Van Manen,Forde,Qld,LIB,2025-05-03,reps
235654,Keith Wolahan,Menzies,Vic,LIB,2025-05-03,reps
241067,David Coleman,Banks,NSW,LIB,2025-05-03,reps
242515,Michael Sukkar,Deakin,Vic,LIB,2025-05-03,reps
247742,Luke Howarth,Petrie,Qld,LIB,2025-05-03,reps
282237,Bridget Archer,Bass,Tas,LIB,2025-05-03,reps
300121,Max Chandler-mather,Griffith,Qld,GRN,2025-05-03,reps
300123,Jenny Ware,Hughes,NSW,LIB,2025-05-03,reps
300246,Stephen Bates,Brisbane,Qld,GRN,2025-05-03,reps
74046,Ian Goodenough,Moore,WA,IND,2025-05-03,reps
E0D,Ross Vasta,Bonner,Qld,LIB,2025-05-03,reps
M3C,Adam Bandt,Melbourne,Vic,GRN,2025-05-03,reps
MT4,Russell Broadbent,Monash,Vic,IND,2025-05-03,reps
00AMT,Maria Vamvakinou,Calwell,Vic,ALP,2025-03-28,reps
00AN3,Brendan O'connor,Gorton,Vic,ALP,2025-03-28,reps
129164,Brian Mitchell,Lyons,Tas,ALP,2025-03-28,reps
230886,Karen Andrews,McPherson,Qld,LIB,2025-03-28,reps
282306,Gavin Pearce,Braddon,Tas,LIB,2025-03-28,reps
300124,Kylea Tink,North Sydney,NSW,IND,2025-03-28,reps
72184,David Gillespie,Lyne,NSW,NP ,2025-03-28,reps
7K6,Warren Entsch,Leichhardt,Qld,LIB,2025-03-28,reps
8GH,Linda Burney,Barton,NSW,ALP,2025-03-28,reps
A9B,Stephen Jones,Whitlam,NSW,ALP,2025-03-28,reps
HVP,Graham Perrett,Moreton,Qld,ALP,2025-03-28,reps
HWN,Mark Coulton,Parkes,NSW,NP ,2025-03-28,reps
HWP,Nola Marino,Forrest,WA,LIB,2025-03-28,reps
HWS,Rowan Ramsey,Grey,SA,LIB,2025-03-28,reps
L6B,Paul Fletcher,Bradfield,NSW,LIB,2025-03-28,reps
H6X,Simon Birmingham,,SA,LIB,2025-01-28,senate
00ATG,Bill Shorten,Maribyrnong,Vic,ALP,2025-01-20,reps
148150,Keith Pitt,Hinkler,Qld,NP ,2025-01-19,reps
155410,Janet Rice,,Vic,GRN,2024-04-19,senate
IWK,Linda White,,Vic,ALP,2024-02-29,senate
E3L,Scott Morrison,Cook,NSW,LIB,2024-02-28,reps
SR5,Pat Dodson,,WA,ALP,2024-01-26,senate
133646,Peta Murphy,Dunkley,Vic,ALP,2023-12-04,reps
M56,Marise Payne,,NSW,LIB,2023-09-30,senate
HWT,Stuart Robert,Fadden,Qld,LIB,2023-05-18,reps
M2Y,Alan Tudge,Aston,Vic,LIB,2023-02-17,reps
FAB,Jim Molan,,NSW,LIB,2023-01-16,senate
144292,Rex Patrick,,SA,IND,2022-06-30,senate
237920,Amanda Stoker,,Qld,LIB,2022-06-30,senate
286349,Greg Mirabella,,Vic,LIB,2022-06-30,senate
76760,Stirling Griff,,SA,CA,2022-06-30,senate
AW5,Kim Carr,,Vic,ALP,2022-06-30,senate
E4T,Connie Fierravanti-wells,,NSW,LIB,2022-06-30,senate
N26,Eric Abetz,,Tas,LIB,2022-06-30,senate
203092,Trent Zimmerman,North Sydney,NSW,LIB,2022-05-21,reps
241590,Lucy Wicks,Robertson,NSW,LIB,2022-05-21,reps
248006,Terri Butler,Griffith,Qld,ALP,2022-05-21,reps
265931,Ben Morton,Tangney,WA,LIB,2022-05-21,reps
282728,Sam Mcmahon,,NT,LDP,2022-05-21,senate
282918,Gladys Liu,Chisholm,Vic,LIB,2022-05-21,reps
282982,Fiona Martin,Reid,NSW,LIB,2022-05-21,reps
282983,Julian Simmonds,Ryan,Qld,LIB,2022-05-21,reps
282986,Katie Allen,Higgins,Vic,LIB,2022-05-21,reps
61378,Trevor Evans,Brisbane,Qld,LIB,2022-05-21,reps
80072,Celia Hammond,Curtin,WA,LIB,2022-05-21,reps
99931,Craig Kelly,Hughes,NSW,UAP [2018],2022-05-21,reps
FKL,Josh Frydenberg,Kooyong,Vic,LIB,2022-05-21,reps
G86,Jason Falinski,Mackellar,NSW,LIB,2022-05-21,reps
HZE,Zed Seselja,,ACT,LIB,2022-05-21,senate
M3A,Ken Wyatt,Hasluck,WA,LIB,2022-05-21,reps
LNW,Kristina Keneally,,NSW,ALP,2022-04-13,senate
008K0,Anthony Byrne,Holt,Vic,ALP,2022-04-11,reps
00AMV,Greg Hunt,Flinders,Vic,LIB,2022-04-11,reps
00APG,Tony Smith,Casey,Vic,LIB,2022-04-11,reps
139441,Ken O'dowd,Flynn,Qld,NP ,2022-04-11,reps
208884,Christian Porter,Pearce,WA,LIB,2022-04-11,reps
230485,George Christensen,Dawson,Qld,NP ,2022-04-11,reps
245550,Nicolle Flint,Boothby,SA,LIB,2022-04-11,reps
282984,Vince Connelly,Stirling,WA,LIB,2022-04-11,reps
56430,Damian Drum,Nicholls,Vic,NP ,2022-04-11,reps
8K6,Joel Fitzgibbon,Hunter,NSW,ALP,2022-04-11,reps
DZP,Sharon Bird,Cunningham,NSW,ALP,2022-04-11,reps
E09,Julie Owens,Parramatta,NSW,ALP,2022-04-11,reps
E0H,Andrew Laming,Bowman,Qld,LIB,2022-04-11,reps
ECV,Chris Hayes,Fowler,NSW,ALP,2022-04-11,reps
